draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
3754,993.0329878170791,0.9997861396988812,0.003564376648405653,9.0,819.0,0.0,-990.2805097523839,-2.622078993455894,0.010561030387473271,0.08096379961304706
3755,994.0048206525942,0.9442190294270769,0.004799396755511533,8.0,475.0,0.0,-993.7857025456925,-2.4418157934152043,0.009990834387704487,0.083737764379866
3756,993.544662247103,0.882558905974553,0.004116071977974781,2.0,3.0,0.0,-992.8207783917213,-2.3998424363854953,0.009860795208240113,0.08055690186599512
3757,993.9513013313523,0.9803688826039176,0.0034207472301264106,9.0,823.0,0.0,-991.7095914551605,-2.4585925250549163,0.010051402662103812,0.08078898618241605
3758,993.3532656958777,0.9706641678134389,0.003564376648405653,8.0,271.0,0.0,-992.5917041322473,-2.6001699941622514,0.010500891321823464,0.08118595826989827
3759,994.0274265774905,0.9964509671631099,0.004799396755511533,10.0,1023.0,0.0,-993.9037466839492,-2.5442306743628444,0.01031770125731607,0.08187029369248831
3760,993.4076769180363,0.6426757879549841,0.004116071977974781,7.0,223.0,0.0,-990.5167991810188,-2.3935279809267302,0.00983410149955936,0.08150794490868657
3761,993.7046055084725,0.9996201294815739,0.0034207472301264106,10.0,1023.0,0.0,-993.5577466536665,-2.471874108366786,0.01008911862042566,0.08551129610747955
3762,993.2497345914607,0.9647973411400506,0.003564376648405653,10.0,1023.0,0.0,-991.5864754655547,-2.415711372388655,0.009903536958444877,0.08521809955460177
3763,992.5138302542529,0.6810437108770623,0.004799396755511533,2.0,3.0,0.0,-992.4924512736741,-2.5443400199955004,0.010299822126827318,0.08187213453514915
3764,992.7959475727458,0.9982450709292103,0.004116071977974781,9.0,511.0,0.0,-991.8852233026975,-2.4684225093033034,0.010071104287139606,0.08688583899457188
3765,993.8763789407258,0.9905803707180162,0.0034207472301264106,10.0,1023.0,0.0,-993.3288552671668,-2.542225185850342,0.010307753886741298,0.0814971426579304
3766,990.8253284329624,0.7933361530049071,0.003564376648405653,2.0,3.0,0.0,-990.6745096669247,-2.415416654643893,0.00994170816606272,0.085209055408148
3767,993.4385552943198,0.9354705184067446,0.004799396755511533,8.0,287.0,0.0,-991.6464524962297,-2.524661731643684,0.010272252846485546,0.08299982052210379
3768,993.1316353547465,0.9998539146714007,0.004116071977974781,8.0,311.0,0.0,-991.987429317293,-2.4650504652546763,0.010060764501336849,0.08623705063540296
3769,992.3376056545608,0.8797835519633719,0.0034207472301264106,8.0,415.0,0.0,-991.2794786535765,-2.484978923649553,0.01014990941294076,0.07957187653674079
3770,989.0759774686898,0.9815091463265521,0.003564376648405653,8.0,339.0,0.0,-987.7255878102862,-2.3012608053662484,0.009521965793276207,0.08525202559009536
3771,993.9357327227196,0.9139468843439175,0.004799396755511533,2.0,3.0,0.0,-992.8711645561367,-2.5243749757211766,0.010248742426333744,0.08300880624287164
3772,992.0035778588745,0.9310263337236602,0.004116071977974781,10.0,1023.0,0.0,-991.4659635947766,-2.357781896519536,0.009714997381233327,0.0858818131948355
3773,993.4627339930722,0.9983223380136784,0.0034207472301264106,2.0,7.0,0.0,-992.3749980196925,-2.4853175854486405,0.01013017708429984,0.07957941446854712
3774,991.9893951280459,1.0,0.003564376648405653,2.0,7.0,0.0,-989.6510737526095,-2.300897549125483,0.009562356506176506,0.08524970631341688
3775,993.0143778989445,0.4478521798151199,0.004799396755511533,2.0,3.0,0.0,-991.2258494502399,-2.524218456215145,0.010274478765758993,0.08301799074471455
3776,992.0370715992219,0.9362857719563854,0.004116071977974781,9.0,511.0,0.0,-990.943566667569,-2.3673558178334333,0.009782562707385605,0.08298545452259075
3777,992.6613663794185,0.8931995954947655,0.0034207472301264106,3.0,11.0,0.0,-992.3679598903191,-2.486065887732702,0.010150787326863435,0.0795757541832655
3778,985.4761092616501,0.8622199531244886,0.003564376648405653,9.0,1023.0,0.0,-981.7586637822478,-2.278099845332739,0.009458216918396182,0.09255627548193948
3779,993.8657296338368,0.996563401757333,0.004799396755511533,8.0,475.0,0.0,-992.5779301241794,-2.4355083131531714,0.009972151284108303,0.08098281807031082
3780,993.6391421930799,0.460909486291735,0.004116071977974781,2.0,7.0,0.0,-986.5495439488681,-2.366413482158862,0.00975756568878874,0.08294459174572101
3781,991.9895460437435,0.888369567840482,0.0034207472301264106,8.0,299.0,0.0,-990.6336355795221,-2.4791210563899044,0.010090252367496373,0.0814713237612171
3782,984.1616076167356,0.9489574278806199,0.003564376648405653,6.0,99.0,0.0,-983.2237401054269,-2.269680705656188,0.00942557283424241,0.09285956617681182
3783,993.167886751033,0.9252142898186195,0.004799396755511533,10.0,1023.0,0.0,-992.2850745036351,-2.6291265797043524,0.010593114880686571,0.08303975414654838
3784,993.9743135521552,0.9924438969252579,0.004116071977974781,9.0,1023.0,0.0,-992.9146922489575,-2.4523935386584625,0.01003166487441509,0.08456846423482416
